x,scheme,numerical,exact
0.00625,upwind,1.2961468225122492,1.3222382140338471
0.018750000000000003,upwind,1.2770015865702753,1.3013137303687412
0.03125,upwind,1.2561485437347208,1.2785315473589294
0.043750000000000004,upwind,1.2337162599490077,1.2540321247385111
0.05625,upwind,1.209843037702166,1.2279665095948262
0.06875,upwind,1.1846760633479991,1.2004954051129328
0.08125,upwind,1.1583704996522692,1.1717881797870302
0.09375,upwind,1.131088529162648,1.1420218232073738
0.10625000000000001,upwind,1.1029983542993793,1.1113798548605955
0.11875000000000001,upwind,1.074273160331427,1.0800511926710414
0.13125,upwind,1.0450900476316989,1.0482289882589475
0.14375000000000002,upwind,1.0156289397943592,1.016109436096471
0.15625,upwind,0.9860714743460371,0.983890563903529
0.16875,upwind,0.9565998828900768,0.9517710117410526
0.18125000000000002,upwind,0.9273958675881024,0.9199488073289587
0.19375,upwind,0.8986394809057714,0.8886201451394048
0.20625000000000002,upwind,0.8705080155294491,0.8579781767926262
0.21875,upwind,0.8431749112978422,0.8282118202129701
0.23125,upwind,0.8168086858877182,0.7995045948870674
0.24375000000000002,upwind,0.7915718958463897,0.7720334904051738
0.25625000000000003,upwind,0.7676201343765459,0.7459678752614891
0.26875,upwind,0.7451010720524178,0.7214684526410711
0.28125,upwind,0.7241535463815811,0.6986862696312588
0.29375,upwind,0.704906705825556,0.6777617859661527
0.30625,upwind,0.6874792135565944,0.6588240080456453
0.31875000000000003,upwind,0.6719785158597634,0.6419896935680667
0.33125000000000004,upwind,0.6585001796908692,0.6273626316801482
0.34375,upwind,0.6471273034743945,0.6150330030824209
0.35625,upwind,0.6379300047740791,0.6050768240352074
0.36875,upwind,0.6309649879948228,0.5975554776930991
0.38125000000000003,upwind,0.6262751947811724,0.5925153356573967
0.39375000000000004,upwind,0.6238895392678048,0.5899874720797673
0.40625,upwind,0.6238227298142709,0.5899874720797673
0.41875,upwind,0.626075178323068,0.5925153356573966
0.43125,upwind,0.6306329977001245,0.5975554776930991
0.44375000000000003,upwind,0.6374680874733516,0.6050768240352074
0.45625000000000004,upwind,0.6465383070413998,0.6150330030824209
0.46875,upwind,0.6577877354844778,0.627362631680148
0.48125,upwind,0.6711470163354195,0.6419896935680666
0.49375,upwind,0.6865337851853672,0.6588240080456453
0.50625,upwind,0.7038531774877412,0.6777617859661527
0.51875,upwind,0.722998413429715,0.6986862696312587
0.53125,upwind,0.7438514562652695,0.7214684526410708
0.5437500000000001,upwind,0.7662837400509825,0.7459678752614891
0.55625,upwind,0.7901569622978242,0.7720334904051737
0.56875,upwind,0.8153239366519909,0.7995045948870672
0.58125,upwind,0.8416295003477205,0.82821182021297
0.59375,upwind,0.8689114708373418,0.8579781767926261
0.6062500000000001,upwind,0.89700164570061,0.8886201451394047
0.61875,upwind,0.9257268396685625,0.9199488073289586
0.6312500000000001,upwind,0.9549099523682907,0.9517710117410526
0.64375,upwind,0.9843710602056304,0.9838905639035287
0.65625,upwind,1.0139285256539523,1.016109436096471
0.6687500000000001,upwind,1.0434001171099128,1.0482289882589475
0.68125,upwind,1.072604132411887,1.0800511926710412
0.6937500000000001,upwind,1.1013605190942182,1.1113798548605958
0.70625,upwind,1.1294919844705409,1.1420218232073733
0.71875,upwind,1.1568250887021478,1.1717881797870302
0.7312500000000001,upwind,1.183191314112272,1.2004954051129326
0.74375,upwind,1.2084281041536005,1.2279665095948262
0.7562500000000001,upwind,1.2323798656234441,1.2540321247385111
0.76875,upwind,1.2548989279475726,1.278531547358929
0.78125,upwind,1.2758464536184095,1.3013137303687412
0.7937500000000001,upwind,1.2950932941744346,1.3222382140338471
0.80625,upwind,1.3125207864433963,1.3411759919543547
0.8187500000000001,upwind,1.3280214841402274,1.3580103064319338
0.83125,upwind,1.3414998203091215,1.3726373683198516
0.84375,upwind,1.3528726965255964,1.384966996917579
0.8562500000000001,upwind,1.3620699952259117,1.3949231759647926
0.86875,upwind,1.3690350120051682,1.4024445223069009
0.8812500000000001,upwind,1.3737248052188187,1.4074846643426036
0.89375,upwind,1.3761104607321863,1.4100125279202327
0.90625,upwind,1.3761772701857202,1.4100125279202327
0.9187500000000001,upwind,1.373924821676923,1.4074846643426033
0.93125,upwind,1.3693670022998667,1.402444522306901
0.9437500000000001,upwind,1.3625319125266395,1.3949231759647924
0.95625,upwind,1.3534616929585912,1.384966996917579
0.96875,upwind,1.342212264515513,1.3726373683198518
0.9812500000000001,upwind,1.3288529836645713,1.3580103064319333
0.99375,upwind,1.3134662148146232,1.3411759919543547
0.00625,mc,1.3219695485074696,1.3222382140338471
0.018750000000000003,mc,1.3010136326065498,1.3013137303687412
0.03125,mc,1.278202488679865,1.2785315473589294
0.043750000000000004,mc,1.2536767441040104,1.2540321247385111
0.05625,mc,1.2275875809695918,1.2279665095948262
0.06875,mc,1.2000958074409882,1.2004954051129328
0.08125,mc,1.1713708702504237,1.1717881797870302
0.09375,mc,1.1415898139964193,1.1420218232073738
0.10625000000000001,mc,1.110936193361644,1.1113798548605955
0.11875000000000001,mc,1.0795989447850114,1.0800511926710414
0.13125,mc,1.047771224463437,1.0482289882589475
0.14375000000000002,mc,1.0156492198286267,1.016109436096471
0.15625,mc,0.9834309418482855,0.983890563903529
0.16875,mc,0.9513150056376133,0.9517710117410526
0.18125000000000002,mc,0.9194994069350235,0.9199488073289587
0.19375,mc,0.8881803019986408,0.8886201451394048
0.20625000000000002,mc,0.8575507984263337,0.8579781767926262
0.21875,mc,0.8277997643003127,0.8282118202129701
0.23125,mc,0.7991106629305971,0.7995045948870674
0.24375000000000002,mc,0.7716604202792219,0.7720334904051738
0.25625000000000003,mc,0.7456183319484826,0.7459678752614891
0.26875,mc,0.7211450162879269,0.7214684526410711
0.28125,mc,0.6983914203587562,0.6986862696312588
0.29375,mc,0.6774978849212407,0.6777617859661527
0.30625,mc,0.6585932767552731,0.6588240080456453
0.31875000000000003,mc,0.6417941749786973,0.6419896935680667
0.33125000000000004,mc,0.6272042085145022,0.6273626316801482
0.34375,mc,0.6149134264301075,0.6150330030824209
0.35625,mc,0.6049982520480643,0.6050768240352074
0.36875,mc,0.5975207411428619,0.5975554776930991
0.38125000000000003,mc,0.5925401206672974,0.5925153356573967
0.39375000000000004,mc,0.5902189896553695,0.5899874720797673
0.40625,mc,0.5899862569147479,0.5899874720797673
0.41875,mc,0.5925314529536609,0.5925153356573966
0.43125,mc,0.5975973005227215,0.5975554776930991
0.44375000000000003,mc,0.6051592961798253,0.6050768240352074
0.45625000000000004,mc,0.6151558183004884,0.6150330030824209
0.46875,mc,0.6275243860478329,0.627362631680148
0.48125,mc,0.6421889266487223,0.6419896935680666
0.49375,mc,0.6590589721444575,0.6588240080456453
0.50625,mc,0.6780304514925206,0.6777617859661527
0.51875,mc,0.6989863673934404,0.6986862696312587
0.53125,mc,0.721797511320125,0.7214684526410708
0.5437500000000001,mc,0.7463232558959793,0.7459678752614891
0.55625,mc,0.7724124190303976,0.7720334904051737
0.56875,mc,0.7999041925590009,0.7995045948870672
0.58125,mc,0.8286291297495653,0.82821182021297
0.59375,mc,0.8584101860035698,0.8579781767926261
0.6062500000000001,mc,0.8890638066383449,0.8886201451394047
0.61875,mc,0.9204010552149775,0.9199488073289586
0.6312500000000001,mc,0.952228775536552,0.9517710117410526
0.64375,mc,0.9843507801713625,0.9838905639035287
0.65625,mc,1.0165690581517035,1.016109436096471
0.6687500000000001,mc,1.048684994362376,1.0482289882589475
0.68125,mc,1.0805005930649656,1.0800511926710412
0.6937500000000001,mc,1.111819698001348,1.1113798548605958
0.70625,mc,1.1424492015736556,1.1420218232073733
0.71875,mc,1.172200235699677,1.1717881797870302
0.7312500000000001,mc,1.200889337069393,1.2004954051129326
0.74375,mc,1.228339579720768,1.2279665095948262
0.7562500000000001,mc,1.2543816680515076,1.2540321247385111
0.76875,mc,1.2788549837120637,1.278531547358929
0.78125,mc,1.3016085796412349,1.3013137303687412
0.7937500000000001,mc,1.3225021150787502,1.3222382140338471
0.80625,mc,1.341406723244718,1.3411759919543547
0.8187500000000001,mc,1.3582058250212943,1.3580103064319338
0.83125,mc,1.3727957914854891,1.3726373683198516
0.84375,mc,1.3850865735698834,1.384966996917579
0.8562500000000001,mc,1.3950017479519268,1.3949231759647926
0.86875,mc,1.402479258857129,1.4024445223069009
0.8812500000000001,mc,1.4074598793326936,1.4074846643426036
0.89375,mc,1.4097810103446218,1.4100125279202327
0.90625,mc,1.4100137430852433,1.4100125279202327
0.9187500000000001,mc,1.4074685470463302,1.4074846643426033
0.93125,mc,1.4024026994772694,1.402444522306901
0.9437500000000001,mc,1.3948407038201653,1.3949231759647924
0.95625,mc,1.3848441816995023,1.384966996917579
0.96875,mc,1.3724756139521577,1.3726373683198518
0.9812500000000001,mc,1.3578110733512683,1.3580103064319333
0.99375,mc,1.3409410278555332,1.3411759919543547
