x,scheme,numerical,exact
0.0025,upwind,0.0019788479902300296,0.0
0.0075,upwind,0.0025115977363595015,0.0
0.0125,upwind,0.0031693500661050204,0.0
0.0175,upwind,0.003976448220078841,0.0
0.0225,upwind,0.004960757588215314,0.0
0.0275,upwind,0.00615390601224354,0.0
0.0325,upwind,0.007591482606718358,0.0
0.0375,upwind,0.009313180942458678,0.0
0.0425,upwind,0.011362871724137285,0.0
0.0475,upwind,0.013788589865299999,0.0
0.0525,upwind,0.016642421214729308,0.0
0.0575,upwind,0.019980275198811504,0.0
0.0625,upwind,0.023861531374864284,0.0
0.0675,upwind,0.028348550371293774,0.0
0.0725,upwind,0.03350604291859036,0.0
0.0775,upwind,0.03940029460795299,0.0
0.0825,upwind,0.04609824856701365,0.0
0.08750000000000001,upwind,0.05366645328712337,0.0
0.0925,upwind,0.06216988820538617,0.0
0.0975,upwind,0.07167068513216927,0.0
0.10250000000000001,upwind,0.08222676898731243,0.0
0.1075,upwind,0.0938904463128763,0.0
0.1125,upwind,0.10670697440736177,0.0
0.11750000000000001,upwind,0.12071314742319725,0.0
0.1225,upwind,0.13593593815475805,0.0
0.1275,upwind,0.15239123532319207,0.0
0.1325,upwind,0.17008271579151948,0.0
0.1375,upwind,0.18900088923489033,0.0
0.14250000000000002,upwind,0.20912234933284507,0.0
0.1475,upwind,0.23040926060489725,0.0
0.1525,upwind,0.2528091037166202,0.0
0.1575,upwind,0.2762546946533189,0.0
0.1625,upwind,0.3006644848711488,0.0
0.1675,upwind,0.32594314072448527,0.0
0.17250000000000001,upwind,0.35198239150578947,0.0
0.1775,upwind,0.3786621267132524,0.0
0.1825,upwind,0.40585171507591217,0.0
0.1875,upwind,0.43341151078934737,0.0
0.1925,upwind,0.4611945066805714,0.0
0.1975,upwind,0.4890480899024151,0.0
0.2025,upwind,0.5168158534546181,1.0000000000000009
0.20750000000000002,upwind,0.544339416453342,0.9999999999999953
0.2125,upwind,0.5714602076408654,1.0000000000000009
0.2175,upwind,0.598021170064191,1.0000000000000009
0.2225,upwind,0.6238683499828142,1.0000000000000009
0.2275,upwind,0.6488523396337836,1.0000000000000009
0.2325,upwind,0.6728295511553251,1.0000000000000009
0.23750000000000002,upwind,0.6956633073612877,0.9999999999999953
0.2425,upwind,0.7172247437439311,1.0000000000000009
0.2475,upwind,0.7373935246242699,1.0000000000000009
0.2525,upwind,0.7560583843382387,1.0000000000000009
0.2575,upwind,0.7731175113455669,1.0000000000000009
0.2625,upwind,0.7884787988309956,1.0000000000000009
0.2675,upwind,0.802059989459537,1.0000000000000009
0.2725,upwind,0.8137887442593095,1.0000000000000009
0.2775,upwind,0.8236026660429201,1.0000000000000009
0.28250000000000003,upwind,0.8314493063477058,1.0000000000000009
0.28750000000000003,upwind,0.8372861816828276,0.9999999999999898
0.2925,upwind,0.8410808201182475,1.0000000000000009
0.2975,upwind,0.8428108532217927,1.0000000000000009
0.3025,upwind,0.842464161399202,1.0000000000000009
0.3075,upwind,0.8400390732211538,1.0000000000000009
0.3125,upwind,0.8355446117616159,1.0000000000000009
0.3175,upwind,0.8290007737588,1.0000000000000009
0.3225,upwind,0.8204388209599964,1.0000000000000009
0.3275,upwind,0.8099015576995936,1.0000000000000009
0.3325,upwind,0.797443564898852,1.0000000000000009
0.3375,upwind,0.783131358501124,1.0000000000000009
0.3425,upwind,0.7670434400106239,1.0000000000000009
